epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5566,1.40837,3.009,1.46734,0.00348,1,0.60606,0.38017,1.15039,3.04702,1.35279,0.000463459,0.000463459,0.000463459
2,74.1619,1.27427,2.16679,1.35291,0.55525,0.47856,0.53916,0.32491,1.34821,2.4755,1.42074,0.000930489,0.000930489,0.000930489
3,110.121,1.3264,1.68493,1.36268,0.85831,0.77021,0.90445,0.64574,1.2934,1.81087,1.38947,0.00138809,0.00138809,0.00138809
4,133.953,1.30977,1.64116,1.37504,0.54202,0.68429,0.74194,0.37084,1.55911,1.99825,1.47548,0.00138656,0.00138656,0.00138656
5,158.039,1.24657,1.449,1.29857,0.48101,0.69697,0.64273,0.42416,1.4242,2.00083,1.68661,0.00137241,0.00137241,0.00137241
6,183.163,1.31107,1.46446,1.39777,0.81972,0.94763,0.9593,0.63319,1.46161,1.55703,1.78579,0.00135826,0.00135826,0.00135826
7,207.29,1.19922,1.38984,1.29975,0.8578,0.90105,0.96721,0.66149,1.10023,1.66206,1.30811,0.00134412,0.00134412,0.00134412
8,233.385,1.17696,1.33664,1.26741,0.99821,0.99875,0.995,0.68449,1.3982,1.18627,1.5602,0.00132997,0.00132997,0.00132997
9,263.862,1.17528,1.19617,1.27081,0.80949,0.9697,0.92214,0.62091,1.11592,1.21912,1.21169,0.00131582,0.00131582,0.00131582
10,291.539,1.16806,1.14894,1.2628,0.92561,0.9541,0.97667,0.65489,1.28316,1.15549,1.41759,0.00130168,0.00130168,0.00130168
11,316.398,1.19714,1.2106,1.26468,0.89865,0.91795,0.96637,0.73442,1.03454,1.01629,1.2041,0.00128753,0.00128753,0.00128753
12,343.368,1.09958,1.11031,1.22369,0.87121,0.80962,0.94869,0.65553,1.16652,1.07672,1.25038,0.00127338,0.00127338,0.00127338
13,370.135,1.11145,1.08155,1.2166,0.98333,0.99585,0.995,0.73403,1.05427,0.86671,1.19793,0.00125923,0.00125923,0.00125923
14,395.052,1.10593,1.05542,1.22846,0.98793,0.97699,0.995,0.72594,1.16014,0.90794,1.25601,0.00124509,0.00124509,0.00124509
15,419.597,1.11674,1.06915,1.21375,0.97784,1,0.995,0.71462,1.21536,0.84578,1.33758,0.00123094,0.00123094,0.00123094
16,447.185,1.06721,1.00921,1.20708,0.98287,0.99388,0.995,0.72232,1.03562,0.75853,1.18979,0.00121679,0.00121679,0.00121679
17,472.164,1.11474,1.02596,1.23162,0.98006,0.99439,0.995,0.69104,1.21211,1.001,1.24926,0.00120265,0.00120265,0.00120265
