epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.95423,1.9091,3.37967,1.79607,0.00508,1,0.38691,0.15266,1.58944,3.34677,1.55763,0.00015719,0.00015719,0.00015719
2,18.2745,1.72317,3.22251,1.62596,0.00541,1,0.58943,0.36228,1.12036,3.18216,1.22562,0.000326501,0.000326501,0.000326501
3,26.4218,1.44092,2.9068,1.38655,0.004,1,0.77361,0.43756,1.07555,3.22723,1.19521,0.000493548,0.000493548,0.000493548
4,35.0407,1.378,2.56337,1.31043,0.00349,1,0.75839,0.4098,1.18397,2.97557,1.13611,0.000658332,0.000658332,0.000658332
5,43.7406,1.41114,2.31843,1.35872,0.37014,0.85692,0.75745,0.45541,1.40635,2.78749,1.19843,0.000820852,0.000820852,0.000820852
6,52.4192,1.48884,2.20675,1.46446,0.8153,0.63092,0.91167,0.56984,1.33153,2.22417,1.22496,0.000981109,0.000981109,0.000981109
7,60.0301,1.51632,2.03273,1.47513,0.67485,0.66667,0.70489,0.32919,1.82141,2.52657,1.84356,0.0011391,0.0011391,0.0011391
8,68.1488,1.6287,2.01598,1.49909,0.74922,0.80597,0.79095,0.43661,1.52814,2.10715,1.47759,0.00129483,0.00129483,0.00129483
9,76.535,1.55655,2.10296,1.4879,0.56809,0.78923,0.75663,0.41213,1.49029,2.36884,1.41689,0.00135355,0.00135355,0.00135355
10,84.7153,1.55047,2.06648,1.47032,0.78704,0.73018,0.80931,0.4619,1.45359,2.22102,1.37811,0.00134412,0.00134412,0.00134412
11,93.0173,1.5003,1.89607,1.43035,0.71396,0.81593,0.73273,0.42157,1.40273,1.81783,1.292,0.00133469,0.00133469,0.00133469
12,100.767,1.48426,1.86428,1.45967,0.76735,0.66667,0.76076,0.49969,1.46286,1.96317,1.47573,0.00132525,0.00132525,0.00132525
13,109.282,1.44156,1.69429,1.38277,0.62059,0.91667,0.84588,0.50162,1.41956,1.91052,1.4569,0.00131582,0.00131582,0.00131582
14,117.613,1.37557,1.74094,1.38123,0.647,0.68586,0.80571,0.46949,1.32122,2.29121,1.30351,0.00130639,0.00130639,0.00130639
15,125.789,1.43666,1.61163,1.39056,0.76881,0.88751,0.87595,0.6009,1.08255,1.86356,1.15038,0.00129696,0.00129696,0.00129696
16,134.117,1.30525,1.47093,1.32532,0.8035,0.77273,0.85159,0.60964,1.07494,1.97595,1.16696,0.00128753,0.00128753,0.00128753
17,142.45,1.29607,1.62858,1.37088,0.91708,0.62282,0.69422,0.51279,1.11837,2.14571,1.20006,0.0012781,0.0012781,0.0012781
18,150.746,1.26083,1.76519,1.29727,0.70606,0.7332,0.79475,0.52344,1.22108,1.87019,1.19149,0.00126867,0.00126867,0.00126867
19,158.886,1.22059,1.42931,1.26001,0.85544,0.61256,0.89037,0.57639,1.3192,2.57442,1.38236,0.00125923,0.00125923,0.00125923
20,166.879,1.25748,1.5638,1.2974,0.54804,0.80376,0.87556,0.52616,1.4314,2.38115,1.55199,0.0012498,0.0012498,0.0012498
21,174.788,1.22721,1.45281,1.28409,0.74077,0.90175,0.97833,0.61554,1.25077,1.72876,1.35657,0.00124037,0.00124037,0.00124037
22,182.995,1.20804,1.3209,1.23828,0.91578,0.7563,0.95929,0.62048,1.24733,1.60912,1.32151,0.00123094,0.00123094,0.00123094
23,191.329,1.22976,1.42683,1.30097,0.59637,0.97844,0.92357,0.58185,1.22352,1.62359,1.17406,0.00122151,0.00122151,0.00122151
24,199.289,1.35698,1.47962,1.32207,0.95447,0.69303,0.94639,0.67056,1.10794,1.45269,1.13435,0.00121208,0.00121208,0.00121208
25,207.563,1.18236,1.44353,1.24583,0.98757,0.96534,0.995,0.69356,1.10631,1.23492,1.18588,0.00120265,0.00120265,0.00120265
26,215.104,1.12374,1.28631,1.20614,0.94208,0.91667,0.95929,0.66629,1.15379,1.30366,1.24569,0.00119322,0.00119322,0.00119322
27,222.632,1.22483,1.29851,1.27601,0.95452,0.82547,0.92787,0.65928,1.2023,1.29834,1.25303,0.00118378,0.00118378,0.00118378
28,230.368,1.33739,1.54473,1.34127,0.92709,0.8223,0.91537,0.64105,1.16455,1.34309,1.21178,0.00117435,0.00117435,0.00117435
29,237.991,1.12131,1.22197,1.22996,0.817,0.91667,0.91537,0.6178,1.21642,1.26176,1.25797,0.00116492,0.00116492,0.00116492
30,245.688,1.13633,1.23082,1.22002,0.80286,0.96297,0.92595,0.63656,1.28427,1.33316,1.26915,0.00115549,0.00115549,0.00115549
31,253.281,1.25459,1.33211,1.31763,0.77047,0.96562,0.89222,0.55186,1.32924,1.43056,1.23107,0.00114606,0.00114606,0.00114606
32,260.757,1.17017,1.26008,1.24642,0.79214,0.96451,0.92357,0.57682,1.33179,1.31483,1.24723,0.00113663,0.00113663,0.00113663
33,270.538,1.25467,1.3519,1.27151,0.92789,0.91667,0.97833,0.66983,1.22983,1.1105,1.26587,0.0011272,0.0011272,0.0011272
34,280.545,1.16859,1.35655,1.25552,0.96829,1,0.995,0.66817,1.22539,1.01629,1.24926,0.00111776,0.00111776,0.00111776
35,290.055,1.23056,1.32657,1.3185,0.95721,1,0.995,0.66746,1.23644,1.07707,1.25993,0.00110833,0.00110833,0.00110833
36,299.7,1.10349,1.27904,1.23142,0.9601,1,0.995,0.68183,1.25319,1.07607,1.28771,0.0010989,0.0010989,0.0010989
37,309.484,1.21017,1.20532,1.26846,0.95759,0.94188,0.995,0.63214,1.35743,1.22538,1.47024,0.00108947,0.00108947,0.00108947
38,318.931,1.11176,1.1723,1.21955,0.92511,0.95411,0.995,0.59577,1.38221,1.18939,1.53072,0.00108004,0.00108004,0.00108004
39,328.54,1.07449,1.13434,1.22801,0.96409,1,0.995,0.642,1.29736,1.09403,1.41726,0.00107061,0.00107061,0.00107061
40,337.928,1.11146,1.08979,1.22542,0.98631,0.99182,0.995,0.5961,1.33797,1.09138,1.4208,0.00106118,0.00106118,0.00106118
