epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.5236,1.41777,3.33423,1.82282,0.00722,1,0.57523,0.38884,1.19006,3.80977,1.87513,0.00025722,0.00025722,0.00025722
2,152.169,1.18389,2.58878,1.50737,0.00771,1,0.79617,0.4702,1.34785,3.89725,1.82688,0.000502558,0.000502558,0.000502558
3,226.058,1.21305,2.09877,1.56201,1,0.2166,0.8163,0.51572,1.27817,3.26943,2.05314,0.000721016,0.000721016,0.000721016
4,300.106,1.20067,1.94864,1.51677,0.66894,0.35654,0.56933,0.32871,1.34876,3.33963,1.86381,0.000912595,0.000912595,0.000912595
5,373.42,1.17062,1.83104,1.52535,0.80731,0.55936,0.87002,0.51218,1.26752,2.60929,1.77949,0.00107729,0.00107729,0.00107729
6,446.111,1.2309,1.7679,1.52887,0.4759,0.35469,0.38366,0.18285,1.68295,3.39015,2.12519,0.00107532,0.00107532,0.00107532
7,518.57,1.13686,1.57166,1.45063,0.52202,0.64729,0.61311,0.31,1.93417,3.10129,2.29905,0.00100459,0.00100459,0.00100459
8,591.124,1.09315,1.52112,1.42758,0.85272,0.83587,0.89065,0.58483,1.27906,1.8587,1.54546,0.000933851,0.000933851,0.000933851
9,662.958,1.10221,1.39622,1.40719,0.94052,0.62942,0.78773,0.44576,1.1708,2.29014,1.64512,0.000863116,0.000863116,0.000863116
10,735.775,1.12533,1.36544,1.43138,0.71002,0.77652,0.80789,0.58692,0.9771,2.17583,1.5021,0.00079238,0.00079238,0.00079238
11,807.355,0.93695,1.69393,1.3957,0.77374,0.7734,0.88902,0.66066,0.96997,1.81349,1.51234,0.000721645,0.000721645,0.000721645
12,878.499,0.87642,1.46766,1.35773,0.98915,0.98611,0.995,0.69931,1.34172,1.29609,1.57005,0.000650909,0.000650909,0.000650909
13,949.407,0.86754,1.31876,1.29501,0.98179,0.9657,0.9925,0.76362,1.22053,1.14871,1.5761,0.000580174,0.000580174,0.000580174
14,1020.7,0.87863,1.27598,1.3165,0.96043,0.9877,0.995,0.7685,0.88213,1.15056,1.27968,0.000509438,0.000509438,0.000509438
15,1091.75,0.88253,1.24052,1.29613,0.99507,0.98079,0.995,0.78228,0.71293,1.06554,1.23308,0.000438703,0.000438703,0.000438703
16,1162.95,0.79888,1.15577,1.25706,0.99288,0.9697,0.9925,0.75746,0.86867,0.97325,1.26565,0.000367967,0.000367967,0.000367967
17,1234.39,0.80177,1.16009,1.28788,0.99181,0.99161,0.995,0.7561,0.94452,0.94691,1.29717,0.000297232,0.000297232,0.000297232
18,1305.76,0.75952,1.03986,1.23027,0.99237,0.99172,0.995,0.77337,0.71128,0.93872,1.1672,0.000226497,0.000226497,0.000226497
19,1376.93,0.7413,1.0253,1.21744,0.99442,1,0.995,0.79137,0.67501,0.90403,1.11568,0.000155761,0.000155761,0.000155761
20,1447.92,0.66283,1.34024,1.11404,0.99084,0.99492,0.995,0.79026,0.68759,0.94441,1.12643,8.50255e-05,8.50255e-05,8.50255e-05
